qualtrics_id,instrument,tuning_step,pct_maj,explicit_rtg
5405144116,xylophone,3,0.5,2
5405144116,xylophone,4,0.375,2
5405144116,xylophone,5,0.25,2
5405144116,trumpet,1,0.75,4
5405144116,trumpet,2,0.375,4
5405144116,trumpet,3,0.5,4
5405144116,trumpet,4,0.125,4
5405144116,trumpet,5,0.625,4
5405144116,piano,1,0.25,2
5405144116,piano,2,0.625,2
5405144116,piano,3,0.625,2
5405144116,piano,4,0.625,2
5405144116,piano,5,0.5,2
5405144116,violin,1,0.375,1
5405144116,violin,2,0.5,1
5405144116,violin,3,0.75,1
5405144116,violin,4,0.375,1
5405144116,violin,5,0.625,1
5405144116,oboe,1,0.5,3
5405144116,oboe,2,0.125,3
5405144116,oboe,3,0.625,3
5405144116,oboe,4,0.125,3
5405144116,oboe,5,0.125,3
5684042495,xylophone,1,1,3
5684042495,xylophone,2,0.75,3
5684042495,xylophone,3,0.875,3
5684042495,xylophone,4,0.5,3
5684042495,xylophone,5,0.75,3
5684042495,trumpet,1,0.25,3
5684042495,trumpet,2,0.375,3
5684042495,trumpet,3,0.375,3
5684042495,trumpet,4,0.25,3
5684042495,trumpet,5,0.375,3
5684042495,piano,1,0.125,2
5684042495,piano,2,0.375,2
5684042495,piano,3,0.375,2
5684042495,piano,4,0.25,2
5684042495,piano,5,0.25,2
5684042495,violin,1,0.375,2
5684042495,violin,2,0.5,2
5684042495,violin,3,0,2
5684042495,violin,4,0.25,2
5684042495,violin,5,0.25,2
5684042495,oboe,1,0.375,3
5684042495,oboe,2,0.25,3
5684042495,oboe,3,0.25,3
5684042495,oboe,4,0.25,3
5684042495,oboe,5,0.375,3
6050072818,xylophone,1,0,4
6050072818,xylophone,2,0.25,4
6050072818,xylophone,3,0.25,4
6050072818,xylophone,4,0.375,4
6050072818,xylophone,5,0.75,4
6050072818,trumpet,1,0.125,1
6050072818,trumpet,2,0,1
6050072818,trumpet,3,0.625,1
6050072818,trumpet,4,0.5,1
6050072818,trumpet,5,0.25,1
6050072818,piano,1,0,4
6050072818,piano,2,0.625,4
6050072818,piano,3,0.5,4
